id,name,zone,sodium,filename
food_001,ข้าวซอยเนื้อ,red,979 มก.,food_001_khaosoinuea.jpg
food_002,น้ำพริกหนุ่ม,red,971 มก.,food_002_nampriknum.jpg
food_003,น้ำพริกแมงดา,red,2130 มก.,food_003_namprikmaengda.jpg
food_004,น้ำพริกน้ำปู๋,red,6305 มก.,food_004_nampriknampu.jpg
food_005,ขนมจีนน้ำเงี้ยว,red,1850 มก.,food_005_khanamachinnamngiao.jpg
food_006,ข้าวซอยไก่,red,2738 มก.,food_006_khaosoikai.jpg
food_007,แกงแคหมูสามชั้น,red,1650 มก.,food_007_kaengkhaemusamchan.jpg
food_008,ตำลาว,red,1950 มก.,food_008_tamlao.jpg
food_009,จิ้นส้ม,red,1190 มก.,food_009_chinsom.jpg
food_010,แกงโฮ๊ะ,red,1480 มก.,food_010_kaengho.jpg
food_011,ไส้อั่ว,red,1480 มก.,food_011_soai.jpg
food_012,แกงฮังเล,red,1250 มก.,food_012_kaenghangle.jpg
food_013,แกงอ่อมหมู,red,1150 มก.,food_013_kaengommu.jpg
food_014,น้ำพริกตาแดง,red,2340 มก.,food_014_nampriktadaeng.jpg
food_015,แกงบ่าหนุนใส่กระดูกหมู,red,1680 มก.,food_015_kaengbanunsaikradukmu.jpg
food_016,แกงส้มบะหน่อไม้ส้ม,red,1320 มก.,food_016_kaengtmbanomaisom.jpg
food_017,น้ำพริกปลาฮ้า,red,2850 มก.,food_017_namprikplaha.jpg
food_018,ต๋ำบะหนุน (ตำขนุน),red,1820 มก.,food_018_tambanun.jpg
food_019,แกงผักปลังต้มจืด,green,240 มก.,food_019_kaengphakplangtamachuet.jpg
food_020,คั่วเห็ดถอบ,green,280 มก.,food_020_khuaetthop.jpg
food_021,แกงผักหวานใส่ไข่มดแดง,green,320 มก.,food_021_kaengphakwansaikhaimadadaeng.jpg
food_022,ส้าผักกาด,green,310 มก.,food_022_saphakkat.jpg
food_023,แกงบ่าปลี,green,290 มก.,food_023_kaengbapli.jpg
food_024,ตำส้มโอใส่ใส่มะแว้ง/ใบชะพลู,green,280 มก.,food_024_tamsamaosaisaimawaeng.jpg
food_025,แกงเห็ดลม,green,260 มก.,food_025_kaengetalom.jpg
food_026,แกงผักกาดจอ (ไม่ใส่ถั่วเน่า/กะปิ),green,150 มก.,food_026_kaengphakkatacho.jpg
food_027,แกงตูนใส่ปลา,green,340 มก.,food_027_kaengtunsaipla.jpg
food_028,ผักเซียงดาผัดไข่,green,290 มก.,food_028_phaksiangdaphatkhai.jpg
food_029,แกงสะแลใส่ปลาแห้ง,green,234 มก.,food_029_kaengsalaesaiplaaeng.jpg
food_030,แกงผักเสี้ยวป่า,green,280 มก.,food_030_kaengphaksiaopa.jpg
food_031,ยำชิ้นไก่,green,360 มก.,food_031_yamchinkai.jpg
food_032,หน่ออั่วนึ่ง,green,340 มก.,food_032_nouanueng.jpg
food_033,แกงบ่าค้อนก่อมใส่ไก่,green,310 มก.,food_033_kaengbakhonkomsaikai.jpg
food_034,ตำมะเขือยาวใส่ไก่อกฉีก (ลดปลาร้า,green,310 มก.,food_034_tammakhueayaosaikaiokchik.jpg
food_035,ยำผักส้ม,red,1044 มก.,food_035_salaep.jpg
food_036,ยำเตา,green,310 มก.,food_036_yamtao.jpg
food_037,นึ่งปลาช่อน จิ้มแจ่วผักนึ่ง,green,290 มก.,food_037_nuengplachon_chimchaeophaknu.jpg
food_038,แกงบอน,green,350 มก.,food_038_kaengbon.jpg
food_039,ส้ามมะเขือฝอย,green,280 มก.,food_039_sammakhueafoi.jpg
food_040,ข้าวกั้นจิ้น,yellow,580 มก.,food_040_khaokanchin.jpg
food_041,ยำผักเฮือด,yellow,450 มก.,food_041_yamphakhueat.jpg
food_042,น้ำพริกอ๋อง,yellow,520 มก. (ลดกะปิ น้ำปลา),food_042_namprikong.jpg
food_043,น้ำพริกอีเก๋,yellow,480 มก. (ลดกะปิ น้ำปลา),food_043_namprikike.jpg
food_044,แกงหยวกใส่ไก่,yellow,460 มก.,food_044_kaengyuaksaikai.jpg
food_045,ผัดเซียงดาใส่ไข่,yellow,430 มก.,food_045_phatsiangdasaikhai.jpg
food_046,แอ๊บปลา (ลดเกลือและกะปิ),yellow,490 มก.,food_046_aeppla.jpg
food_047,แกงผักกาดตงใส่ปลาแห้ง,yellow,440 มก. (กะปิเหลือ 1 ช้อนชา),food_047_kaengphakkatatongsaiplaaeng.jpg
food_048,อ๊อกปลานิล,yellow,460 มก. (ลดกะปิ),food_048_okplanin.jpg
food_049,ลาบคั่วเหนือ,yellow,620 มก. (งดใส่เลือด ใช้ซีอิ๊วขาวแทนน้ำปลา),food_049_lapkhuaenue.jpg
food_050,แกงผักขี้หูด,yellow,430 มก. (กะปิเหลือ 1 ช้อนชา ไม่เติมเกลือ),food_050_kaengphakkhiut.jpg
food_051,แกงคั่วหอยขม (ลดกะปิ),yellow,490 มก.,food_051_kaengkhuahoikhom.jpg
food_052,ไข่ป่าม,yellow,420 มก. (ซีอิ๊วขาว 1 ช้อนชา),food_052_khaipam.jpg
food_053,แกงกระด้าง,yellow,510 มก.,food_053_kaengkradang.jpg
food_054,แกงผักกูดใส่ปลาย่าง,yellow,420 มก. (ลดกะปิ ใส่ซีอิ๊วแทนน้ำปลา),food_054_kaengphakkutsaiplayang.jpg
food_055,แกงหน่อไม้ปลาดุก,yellow,540 มก. (น้ำปลาร้า 1 ชช. ลดกะปิ),food_055_kaengnomaipladuk.jpg
food_056,ไก่นึ่งสมุนไพร,yellow,480 มก. (ใช้ซีอิ๊วขาว 1 ช้อนชา),food_056_kainuengsamunprai.jpg
food_057,คั่วแห้งไก่,yellow,530 มก. (ลดกะปิ ใช้ซีอิ๊ว),food_057_khuaaengkai.jpg
food_058,ทอดไข่ใส่มดแดง,yellow,440 มก. (ใช้ซีอิ๊วขาว 1 ช้อนชา),food_058_thotkhaisaimadadaeng.jpg
food_059,ตำมะเขือ,yellow,450 มก. (ลดกะปิ/ปลาร้าเหลือ ½ ช้อนชา),food_059_tammakhuea.jpg
food_060,ข้าวแคบ (รสเค็ม/งา),green,120 มก.,food_060_khaokhaep.jpg
food_061,ข้าวควบ (ข้าวโป่ง) สูตรดั้งเดิม,green,180 มก.,food_061_khaokhuap.jpg
food_062,ข้าวนุกงา (ข้าวหนุกงา),green,240 มก.,food_062_khaonuknga.jpg
food_063,ข้าวแต๋นน้ำแตงโม (หน้าธัญพืช),yellow,350 มก.,food_063_khaotaennamtaengmo.jpg
food_064,ขนมจ๊อก (ไส้เค็ม),yellow,580 มก.,food_064_khanomchok.jpg
food_065,ข้าวต้มหัวหงอก (จิ้มมะพร้าวเกลือ),red,650 มก.,food_065_khaotmuangok.jpg
food_066,ขนมเกลือ (หนมเกลือ),red,780 มก.,food_066_khanomkelue.jpg
food_067,ข้าวเหนียวหน้าปลาแห้ง,red,890 มก.,food_067_khaoheninaplaaeng.jpg
food_068,ข้าวตอกน้ำกะทิ (สูตรใส่เกลือตัดหวาน),red,610 มก.,food_068_khaotoknamkathi.jpg
food_069,ข้าวเหนียวหัวหงอก (จิ้มมะพร้าวขูดโรยเกลือ),red,680 มก.,food_069_khaoheniuangok.jpg
food_070,ข้าวหนมแป้น (ขนมแป้นสูตรโบราณ),yellow,380 มก.,food_070_khaoonmpaen.jpg
food_071,ขนมปังปี๊บไส้สับปะรด (ขนมยอดฮิตติดบ้าน),red,720 มก.,food_071_khanamapangpipsaisappant.jpg
food_072,โรตีทอดนมข้น-น้ำตาล,red,590 มก.,food_072_rotithotnamakhon_namtan.jpg
food_073,ขนมขาไก่ (รสเค็มดั้งเดิม),red,840 มก.,food_073_khanomkhakai.jpg
food_074,กล้วยฉาบ (รสเค็ม-หวาน),yellow,390 มก.,food_074_kluaichap.jpg
food_075,ข้าวเกรียบปลาทอด,red,790 มก.,food_075_khaokeripplathot.jpg
food_076,ขนมเปี๊ยะโบราณ (ไส้ถั่วไข่เค็ม),yellow,480 มก.,food_076_khanompiaboran.jpg
food_077,พัฟเค้กสอดไส้ครีมคัสตาร์ด,yellow,320 มก.,food_077_phapkheksotsaikhrimkhattat.jpg
food_078,ขนมตระกูลทอง (ทองหยิบ-หยอด-ฝอยทอง),red,520 มก. (หมายเหตุ: โซเดียมมาจากไข่แดงและน้ำเชื่อมปรุงรส),food_078_khanomtrakunthong.jpg
food_079,ขนมบ้าบิ่นมะพร้าวอ่อน,yellow,390 มก.,food_079_khanombabinmapraoon.jpg
food_080,ขนมตะโก้ (ไส้เผือก),yellow,380 มก. (ต่อกระทงขนาดกลาง 2-3 กระทง),food_080_khanamatako.jpg
food_081,หมูปิ้งนมสด,red,780 มก. (ต่อ 3 ไม้),food_081_mupingnamasot.jpg
food_082,ไส้กรอกอีสานย่าง,red,890 มก. (ต่อ 1 ไม้/ชุดเล็ก),food_082_sakairokisanyang.jpg
food_083,แกงพะโล้ขาหมู,red,950 มก.,food_083_kaengphalokhamu.jpg
food_084,ไข่ต้มซีอิ๊วพะโล้,yellow,460 มก. (ต่อ 1 ฟอง),food_084_khataimsiiophalo.jpg
food_085,ลูกชิ้นทอด น้ำจิ้มรสเด็ด,red,980 มก. (ต่อ 4-5 ไม้),food_085_lukchinthot_namchimrasadet.jpg
food_086,หมูหวาน,red,750 มก.,food_086_muwan.jpg
food_087,ปลาทูต้มเค็มหวานโบราณ,red,1100 มก. (ต่อปลา 1 ตัว),food_087_plathutamakhemwanboran.jpg
food_088,ผัดกะเพราหมูสับ,red,1200 มก.,food_088_phatkapheramusap.jpg
food_089,หมูแดดเดียวทอด,red,850 มก. (ต่อจานเล็ก),food_089_mudaetdiaothot.jpg
food_090,ทอดมันปลากราย,yellow,580 มก. (ต่อ 4-5 ชิ้น),food_090_thotmanplakrai.jpg
food_091,กุนเชียงหมูทอด,red,810 มก. (ต่อ 1 แท่ง/จานแบ่ง),food_091_kunchiangmuthot.jpg
food_092,แหนมชุบไข่ทอด,red,930 มก.,food_092_aenmchupkhathait.jpg
food_093,ยำไข่เค็ม,red,1150 มก.,food_093_yamkhaikhem.jpg
food_094,ต้มซุปเปอร์ขาไก่,red,1350 มก.,food_094_tomsuppoekhakai.jpg
food_095,แกงไตปลา (สูตรเข้มข้น),red,1450 มก.,food_095_kaengtapaila.jpg
food_096,ข้าวหมูแดง-หมูกรอบ,red,1050 มก.,food_096_khaomudaeng_mukrop.jpg
food_097,ขนมจีนน้ำยาป่า,red,1180 มก.,food_097_khanamachinnamyapa.jpg
food_098,ซาลาเปาไส้หมูสับไข่เค็ม,yellow,490 มก. (ต่อ 1 ลูกใหญ่),food_098_salapaosaimusapkhaikhem.jpg
food_099,ยำแหนมคลุกข้าวทอด,red,1250 มก. (ต่อชุดเล็ก 1 ถุง),food_099_yamaenmkhlukkhaothot.jpg
