#,id,ชื่อการ์ด,ชื่อไฟล์รูป
1,knowledge_01,ไม่ใช่เรื่องไกลตัว,knowledge_01_maichairueangklaitua.jpg
2,knowledge_02,วิกฤตสไลด์เดอร์ (Stroke ในคนอายุน้อย),knowledge_02_wikritsidelor.jpg
3,knowledge_03,ป่วย 1 คนจนทั้งชาติ,knowledge_03_puay1khon.jpg
4,knowledge_04,กลไกโซเดียมกับหลอดเลือด,knowledge_04_klaiksodiumluesai.jpg
5,knowledge_05,ชุดความรู้: สู้ผงนัว,knowledge_05_sunphongnua.jpg
6,knowledge_06,ชุดความรู้: โซเดียมแฝง,knowledge_06_sodiumfaeng.jpg
7,knowledge_07,ชุดความรู้: อันตรายจากยาชุด,knowledge_07_antraiyachud.jpg
8,knowledge_08,ทักษะ: คาถา FAST,knowledge_08_khathafast.jpg
9,knowledge_09,คัดกรองข่าว,knowledge_09_khadkrongkhao.jpg
10,knowledge_10,อ่านฉลากก่อนซื้อ,knowledge_10_aanchalak.jpg
11,knowledge_11,ชวนหักดิบ,knowledge_11_chuanhakdib.jpg
12,knowledge_12,นาทีทอง,knowledge_12_nathithong.jpg
13,knowledge_13,ชูรสชาติสมุนไพร,knowledge_13_churotsamunphrai.jpg
14,knowledge_14,ตีบกับแตก ต่างกัน,knowledge_14_tiebkaetaek.jpg
15,knowledge_15,อย่า หยุดยาเอง,knowledge_15_yayudyaeng.jpg
16,knowledge_16,พกความกลัวไปหาหมอ,knowledge_16_phokwamklua.jpg
17,knowledge_17,ตวงก่อนปรุง,knowledge_17_tuongkonprung.jpg
18,knowledge_18,ขยายโลกด้วยปลายนิ้ว,knowledge_18_khayailok.jpg
19,knowledge_19,ชวนขยับ,knowledge_19_chuankhayab.jpg
20,knowledge_20,ล้างลิ้นติดเค็ม,knowledge_20_langlintidkhem.jpg
