id,name,scope,effect
obstacle_01,ลุงคำยืนกราน... บ่ลำบ่กิน!,ตนเอง,ใช้การ์ดความรู้ (ใช้แล้วทิ้ง 1 ใบ); ไม่มี -20 คะแนน
obstacle_02,ไปเยือนบ้านอื่น,ทุกคน,ได้การ์ดอาหารเพิ่ม 1 ใบ
obstacle_03,ไม่เค็ม ไม่มีแรง,ตนเอง,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_04,ตำราเก่าของอุ้ย,ตนเอง,หยุดเดิน 1 ตา
obstacle_05,ของมันต้องมี!,ตนเอง,แลกการ์ดอาหารโซนเขียวทั้งหมด เป็นโซนเหลือง/แดง
obstacle_06,"""ลาบงัวดิบซะบ๊ะ"" (ผู้นำชุมชนจัดเต็ม)",ทุกคน,ใช้การ์ดความรู้ (ใช้แล้วทิ้ง 1 ใบ); ไม่มีก็ไม่โดนหัก
obstacle_07,ผงนัวก้นครก... บ่ใส่ก็บ่ลำ,ตนเอง,ใช้การ์ดความรู้ (ใช้แล้วทิ้ง 1 ใบ); ไม่มี -50 คะแนน
obstacle_08,ร้านดังคนรุม,ตนเอง,ได้การ์ดอาหารเพิ่ม 1 ใบ โซนแดง
obstacle_09,อุ่นซ้ำเพราะเสียดาย,ตนเอง,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_10,รถพุ่มพวง... บุกถึงหน้าบ้าน,ตนเอง,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_11,รักหลานจัดเต็ม,ตนเอง,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_12,ข้าวหนุกงาหน้าหนาว,ตนเอง,หยุดเดิน 1 ตา
obstacle_13,อสม. ฝึกหัด...,ทุกคน,ใช้การ์ดความรู้ (ใช้แล้วทิ้ง 1 ใบ); ไม่มี -20 คะแนน
obstacle_14,ลองลิ้ม... ชิมเกลือไอโอดีนปลอม,ตนเอง,สุ่มทิ้งการ์ดอาหาร 1 ใบ
obstacle_15,ดาราพากิน,ตนเอง,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_16,กับดักแก้ปวด,ตนเอง,หยุดเดิน 1 ตา
obstacle_17,กินตามรีวิว,ตนเอง,ใช้การ์ดความรู้ (ใช้แล้วทิ้ง 1 ใบ); ไม่มี -50 คะแนน
obstacle_18,ปากท้องต้องมาก่อน,ตนเอง,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_19,งานบุญครั้งใหญ่,ทุกคน,ใช้การ์ดความรู้ (ใช้แต่ไม่ทิ้ง); ไม่มี -20 คะแนน
obstacle_20,พายุฤดูร้อน... หลังคาปลิว,ตนเอง,หยุดเดิน 1 ตา
